"year","rank","city","med_park_size_data","med_park_size_points","park_pct_city_data","park_pct_city_points","pct_near_park_data","pct_near_park_points","spend_per_resident_data","spend_per_resident_points","basketball_data","basketball_points","dogpark_data","dogpark_points","playground_data","playground_points","rec_sr_data","rec_sr_points","restroom_data","restroom_points","splashground_data","splashground_points","amenities_points","total_points","total_pct","city_dup","park_benches"
2020,82,"Winston-Salem",9.2,43,"5%",11,"37%",4,"$81",41,1.2,5,1.2,44,1.9,22,1.4,93,2.1,64,4.8,100,54.7,154,38.4,"Winston-Salem",NA
2020,83,"Garland",9.6,46,"7%",17,"63%",43,"$57",26,2.2,23,0,0,1.4,10,0.6,41,1.2,34,0,0,18,150,37.5,"Garland",NA
2020,84,"Tucson",5.5,25,"3%",5,"63%",44,"$53",24,4.9,73,1.4,55,2.7,41,0.8,55,1.8,54,0.7,24,50.3,148,37.1,"Tucson",NA
2020,85,"Santa Ana",6,28,"4%",8,"75%",63,"$53",24,2.1,22,0,0,1.2,6,0.9,63,1.6,47,0,0,23,146,36.5,"Santa Ana",NA
2020,86,"Laredo",4.1,18,"2%",2,"54%",31,"$59",28,9.4,100,1.5,57,2.6,38,0.8,54,1,28,4.5,100,62.8,142,35.5,"Laredo",NA
2020,87,"Stockton",6,28,"3%",5,"74%",60,"$15",1,3.4,47,1,32,2.3,31,0.4,23,2.7,85,1.6,58,46,140,35,"Stockton",NA
2020,88,"Memphis",10,48,"5%",9,"46%",17,"$76",38,2.9,37,0.6,16,1.8,20,0.9,63,0.1,1,0.5,14,25.2,137,34.3,"Memphis",NA
2020,89,"Irving",3.2,14,"5%",11,"64%",45,"$72",36,1.1,3,1.2,44,3,48,0.8,53,0.2,5,0.8,28,30.2,136,34,"Irving",NA
2020,90,"Hialeah",4.4,20,"2%",1,"69%",52,"$33",11,5.1,77,0,0,1,1,1.5,100,2.2,67,1.3,45,48.3,132,33.1,"Hialeah",NA
2020,91,"Baton Rouge",4.2,19,"3%",5,"54%",30,"$44",19,8,100,0.8,27,2.6,39,2.9,100,1.2,36,0.8,29,55.2,128,32,"Baton Rouge",NA
2020,92,"Fresno",2.2,9,"4%",8,"67%",51,"$42",17,4.6,68,1.3,49,2.6,38,0.6,38,0.9,26,0.9,33,42,127,31.8,"Fresno",NA
2020,93,"Lubbock",9.7,46,"3%",4,"56%",33,"$35",13,4.8,71,0.8,23,2.2,28,0.4,22,1.3,38,0,0,30.3,126,31.6,"Lubbock",NA
2020,94,"Fort Worth",7.7,36,"6%",13,"61%",40,"$56",26,1.2,5,0.3,2,2.3,31,0.3,17,0.2,3,0.1,1,9.8,125,31.2,"Fort Worth",NA
2020,95,"Charlotte/Mecklenburg County",16.5,50,"6%",13,"37%",3,"$56",26,3.7,51,0.6,17,2.1,26,0.5,28,0.6,14,0.8,28,27.3,119,29.8,"Charlotte",NA
2020,96,"Mesa",2.8,12,"4%",8,"66%",48,"$65",32,2.8,34,0.4,5,1.3,8,0.2,12,0.7,18,0.6,19,16,116,29,"Mesa",NA
2020,97,"Oklahoma City",5,22,"5%",10,"38%",5,"$57",26,1.7,14,0.3,1,1.6,16,0.7,42,1.1,31,2.4,89,32.2,95,23.8,"Oklahoma City",NA
